Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial
B00696851-I1,BROOKLYN,,2022-03-25,2025-07-30,1222,2025-10-31,16.0,,Permit Entire,3096632,305,40.66184,-73.89059,719,VERMONT STREET,3,4301,81,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00702042-I1,BROOKLYN,,2022-03-31,2025-07-30,1216,2026-04-01,497.0,,Permit Entire,3342064,301,40.71406,-73.95738,143,ROEBLING STREET,3,2368,1,LOMBARDO PROFESSIONAL ENGINEERING,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00702882-I1,BROOKLYN,,2022-03-28,2025-07-30,1219,2025-10-30,194.0,,Permit Entire,3000241,302,40.69725,-73.98252,2,PRINCE STREET,3,122,32,GEIGER E&A GROUP CORP.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00706912-I1,BROOKLYN,,2022-04-04,2025-07-30,1212,2025-10-18,79.0,,Permit Entire,3048476,303,40.69596,-73.95427,97,WALWORTH STREET,3,1736,57,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00707808-I1,BROOKLYN,,2022-03-31,2025-07-30,1216,2025-12-06,100.0,,Permit Entire,3098943,305,40.66402,-73.86833,860,PINE STREET,3,4527,27,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00711041-I1,BROOKLYN,,2022-04-11,2025-07-30,1205,2026-06-09,26.0,,Permit Entire,3393877,301,40.71445,-73.95622,349,METROPOLITAN AVENUE,3,2346,7502,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B00718760-I1,BROOKLYN,,2022-04-15,2025-07-30,1201,2026-05-29,35.0,,Permit Entire,3002799,302,40.69012,-73.99244,118,COURT STREET,3,276,46,MOHAMMAD AHEAD - PE  PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00721401-I1,BROOKLYN,,2022-07-28,2025-07-30,1097,2025-10-01,1032.0,,Permit Entire,3196595,313,40.57758,-73.97084,2951,WEST    3 STREET,3,7281,1,DSENY ENGINEERING SERVICES  PC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00721718-S1,BROOKLYN,,2023-02-22,2025-07-30,888,2026-06-25,180.0,,Permit Entire,3259310,308,40.67342,-73.96807,17,EASTERN PARKWAY,3,1172,6,PAUL G. JONES  P.E.,1,DOB NOW,Local Law 11,Other Zoning Districts
B00733787-I1,BROOKLYN,,2022-05-11,2025-07-30,1175,2026-03-21,84.0,,Permit Entire,3425796,317,40.65463,-73.948,345,LENOX ROAD,3,4837,7502,GEIGER E&A GROUP CORP.,1,DOB NOW,Local Law 11,Other Zoning Districts
B00738519-I1,BROOKLYN,,2022-12-13,2025-07-30,959,2025-12-06,415.0,,Permit Entire,3064408,301,40.73172,-73.95757,180,FRANKLIN STREET,3,2540,1,MOHAMMAD AHEAD - PE  PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00738810-I1,BROOKLYN,,2022-07-15,2025-07-30,1110,2026-03-04,291.0,,Permit Entire,3071195,301,40.70812,-73.93303,121,MORGAN AVENUE,3,3056,168,GEIGER E&A GROUP CORP.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00742018-I1,BROOKLYN,,2022-08-03,2025-07-30,1091,2025-09-29,642.0,,Permit Entire,3153886,310,40.6231,-74.04032,8901,SHORE ROAD,3,6058,12,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B00743755-I1,BROOKLYN,,2022-10-07,2025-07-30,1026,2025-11-11,168.0,,Permit Entire,3059187,302,40.6855,-73.97735,144,ST FELIX STREET,3,2111,45,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00746314-I1,BROOKLYN,,2022-09-06,2025-07-30,1057,2025-08-26,1050.0,,Permit Entire,3246958,315,40.58389,-73.95405,1401,EMMONS AVENUE,3,8767,26,DSENY ENGINEERING SERVICES  PC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00749698-I1,BROOKLYN,,2022-08-03,2025-07-30,1091,2025-08-14,1116.0,,Permit Entire,3025510,306,40.66926,-73.97859,237,7 AVENUE,3,1082,1,AK CONSULTING SERVICES  INC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00750956-I1,BROOKLYN,,2022-06-09,2025-07-30,1146,2026-04-01,122.0,,Permit Entire,3064675,301,40.73004,-73.95735,77,GREENPOINT AVENUE,3,2558,1,MSM ENGINEERING SERVICES  PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00755883-I1,BROOKLYN,,2022-07-20,2025-07-30,1105,2026-03-19,8.0,,Permit Entire,3048818,303,40.69444,-73.94736,545,WILLOUGHBY AVENUE,3,1759,13,NYMS CONSULTING LLC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00755939-I1,BROOKLYN,,2022-06-30,2025-07-30,1125,2025-08-04,8.0,,Permit Entire,3224947,318,40.63539,-73.91122,956,EAST   82 STREET,3,8018,1,NYMS CONSULTING LLC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00761084-I1,BROOKLYN,,2022-07-20,2025-07-30,1105,2026-06-25,1010.0,,Permit Entire,3257046,302,40.69457,-73.98113,5,FLEET WALK,3,2050,1,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00761108-I1,BROOKLYN,,2022-09-13,2025-07-30,1050,2025-09-11,650.0,,Permit Entire,3042263,316,40.67763,-73.90869,1355,HERKIMER STREET,3,1552,43,AME SERVICES INC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00763911-I1,BROOKLYN,,2022-06-28,2025-07-30,1127,2025-12-22,880.0,,Permit Entire,3144194,310,40.63832,-74.02286,350,65 STREET,3,5826,1,MOHAMMAD AHEAD - PE  PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00765943-I1,BROOKLYN,,2022-10-20,2025-07-30,1013,2025-09-30,1448.0,,Permit Entire,3107227,309,40.65871,-73.94372,600,KINGSTON AVENUE,3,4811,1,DSENY ENGINEERING SERVICES  PC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00767908-I1,BROOKLYN,,2022-07-29,2025-07-30,1096,2026-04-01,682.0,,Permit Entire,3124075,307,40.65,-73.97317,23,OCEAN PARKWAY,3,5322,4,TOHFAZ UDDIN PE PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00769924-I1,BROOKLYN,,2022-07-09,2025-07-30,1116,2025-09-16,110.0,,Permit Entire,3037202,308,40.66994,-73.92477,1604,ST JOHNS PLACE,3,1387,13,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00770673-I1,BROOKLYN,,2022-07-07,2025-07-30,1118,2025-11-13,39.0,,Permit Entire,3022923,306,40.66753,-73.98733,487,5 AVENUE,3,1023,5,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00773002-I1,BROOKLYN,,2022-07-18,2025-07-30,1107,2026-01-10,428.0,,Permit Entire,3155318,310,40.6179,-74.02985,9201,4 AVENUE,3,6108,22,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00773964-I1,BROOKLYN,,2022-07-25,2025-07-30,1100,2026-02-19,302.0,,Permit Entire,3076115,304,40.69472,-73.91871,335,CENTRAL AVENUE,3,3324,1,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00774018-I1,BROOKLYN,,2022-07-14,2025-07-30,1111,2025-09-29,37.0,,Permit Entire,3003422,306,40.6863,-73.9943,230,COURT STREET,3,307,36,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00774482-I1,BROOKLYN,,2022-07-19,2025-07-30,1106,2025-09-08,40.0,,Permit Entire,3040134,303,40.68396,-73.92004,653,MAC DONOUGH STREET,3,1497,1,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00775157-I1,BROOKLYN,,2022-08-16,2025-07-30,1078,2026-01-25,30.0,,Permit Entire,3003417,306,40.68653,-73.99418,220,COURT STREET,3,307,31,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00775186-I1,BROOKLYN,,2022-08-03,2025-07-30,1091,2026-01-25,30.0,,Permit Entire,3003418,306,40.68648,-73.99421,222,COURT STREET,3,307,32,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00776227-S1,BROOKLYN,,2022-11-08,2025-07-30,994,2025-10-30,44.0,,Permit Entire,3171478,312,40.62147,-73.96603,1120,EAST   10 STREET,3,6535,11,360 ENGINEERING P.C.,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00777212-I1,BROOKLYN,,2022-07-19,2025-07-30,1106,2026-02-28,565.0,,Permit Entire,3058187,302,40.6945,-73.98455,9,METROTECH CENTER,3,2047,11,URBAN INTEGRATIONS LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00779554-I1,BROOKLYN,,2022-09-14,2025-07-30,1049,2025-09-11,1100.0,,Permit Entire,3196224,313,40.5868,-73.96118,2609,EAST    7 STREET,3,7244,1,AME SERVICES INC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00789843-I1,BROOKLYN,,2022-08-12,2025-07-30,1082,2025-09-26,25.0,,Permit Entire,3819133,302,40.70451,-73.98098,19,HUDSON AVENUE,3,6,1,BRAND ACCESS SOLUTIONS,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00792259-I1,BROOKLYN,,2022-08-29,2025-07-30,1065,2025-12-31,56.0,,Permit Entire,3192661,315,40.596,-73.97467,345,VAN SICKLEN STREET,3,7123,66,NYMS CONSULTING LLC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00793327-I1,BROOKLYN,,2022-10-28,2025-07-30,1005,2025-10-25,300.0,,Permit Entire,3095254,305,40.67588,-73.86296,2944,PITKIN AVENUE,3,4243,1,TRIANGLE INSP & TEST SER INC.,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00793725-I1,BROOKLYN,,2022-10-28,2025-07-30,1005,2025-09-27,198.0,,Permit Entire,3256921,318,40.65327,-73.90023,10502,AVENUE D,3,8138,1,BITOPI CONSULTANTS LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00793896-I1,BROOKLYN,,2022-10-24,2025-07-30,1009,2026-03-19,15.0,,Permit Entire,3046876,303,40.68295,-73.93013,500,MACON STREET,3,1671,19,ROCON CORP,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00794783-I1,BROOKLYN,,2022-08-26,2025-07-30,1068,2025-10-07,145.0,,Permit Entire,3048823,303,40.6942,-73.94835,525,WILLOUGHBY AVENUE,3,1759,71,MOHAMMAD AHEAD - PE  PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00795877-I1,BROOKLYN,,2022-08-25,2025-07-30,1069,2025-08-19,37.0,,Permit Entire,3324695,303,40.68283,-73.92239,519,DECATUR STREET,3,1500,1,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00796176-I1,BROOKLYN,,2022-09-02,2025-07-30,1061,2025-09-04,61.0,,Permit Entire,3001968,302,40.6953,-73.99531,105,MONTAGUE STREET,3,242,12,ASR ENGINEERING PC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00802318-I1,BROOKLYN,,2023-01-31,2025-07-30,910,2026-01-14,36.0,,Permit Entire,3000427,302,40.6913,-73.98774,376,FULTON STREET,3,154,18,KZ ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00803073-I1,BROOKLYN,,2023-04-12,2025-07-30,839,2025-08-06,915.0,,Permit Entire,3131067,312,40.61971,-73.97051,1180,OCEAN PARKWAY,3,5495,1014,ENTHINK ENGINEERING LLC,0,DOB NOW,Local Law 11,Other Zoning Districts
B00804703-I1,BROOKLYN,,2023-01-11,2025-07-30,930,2026-05-01,470.0,,Permit Entire,3429924,301,40.70765,-73.96895,11,WHARF WAY,3,2134,1,URBAN INTEGRATIONS LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00804771-I1,BROOKLYN,,2023-02-13,2025-07-30,897,2025-11-01,575.0,,Permit Entire,3150481,310,40.62373,-74.01847,7805,7 AVENUE,3,5973,1,360 ENGINEERING P.C.,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00807729-I1,BROOKLYN,,2023-01-07,2025-07-30,934,2025-09-12,255.0,,Permit Entire,3420168,306,40.68064,-73.98041,613,BALTIC STREET,3,937,7504,MOHAMMAD AHEAD - PE  PLLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00807843-I1,BROOKLYN,,2023-08-15,2025-07-30,714,2025-10-25,645.0,,Permit Entire,3331274,307,40.66077,-73.98871,330,18 STREET,3,880,1,NYMS CONSULTING LLC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00808012-I1,BROOKLYN,,2023-04-18,2025-07-30,833,2026-03-05,376.0,,Permit Entire,3037303,308,40.66956,-73.93432,1025,EASTERN PARKWAY,3,1389,35,AK CONSULTING SERVICES  INC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00808312-I1,BROOKLYN,,2023-09-29,2025-07-30,669,2025-08-11,609.0,,Permit Entire,3058215,302,40.69548,-73.9819,71,PRINCE STREET,3,2050,100,AP PROFESSIONAL ENG PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00809358-I1,BROOKLYN,,2023-01-26,2025-07-30,915,2025-11-01,16.0,,Permit Entire,3079428,304,40.68644,-73.91042,84,SCHAEFER STREET,3,3427,11,NYMS CONSULTING LLC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00809436-I1,BROOKLYN,,2023-01-24,2025-07-30,917,2025-12-20,395.0,,Permit Entire,3030090,308,40.67708,-73.94672,77,NEW YORK AVENUE,3,1208,1,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B00809767-I1,BROOKLYN,,2023-01-18,2025-07-30,923,2025-10-30,220.0,,Permit Entire,3413889,302,40.69096,-73.98488,503,FULTON STREET,3,145,7501,PR,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00810621-I1,BROOKLYN,,2023-01-17,2025-07-30,924,2025-09-25,26.0,,Permit Entire,3079243,304,40.68818,-73.90966,127,SCHAEFER STREET,3,3422,55,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00812121-I1,BROOKLYN,,2023-01-26,2025-07-30,915,2026-04-30,450.0,,Permit Entire,3245026,313,40.57548,-73.96711,50,BRIGHTON    1 ROAD,3,8680,1,URBAN INTEGRATIONS LLC,0,DOB NOW,Local Law 11,Other Zoning Districts
B00812655-I1,BROOKLYN,,2023-01-20,2025-07-30,921,2025-11-21,45.0,,Permit Entire,3335470,301,40.70027,-73.94864,11,BARTLETT STREET,3,2268,1,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00814416-I1,BROOKLYN,,2023-01-18,2025-07-30,923,2026-03-07,265.0,,Permit Entire,3323169,301,40.70625,-73.96622,60,DIVISION AVENUE,3,2166,1,DEN MENDEZ RA,1,DOB NOW,Local Law 11,Other Zoning Districts
B00814448-I1,BROOKLYN,,2023-01-18,2025-07-30,923,2026-03-07,304.0,,Permit Entire,3323171,301,40.70625,-73.96622,541,WYTHE AVENUE,3,2166,1,DEN MENDEZ RA,1,DOB NOW,Local Law 11,Other Zoning Districts
B00816330-I1,BROOKLYN,,2023-03-08,2025-07-30,874,2025-09-21,86.0,,Permit Entire,3396029,308,40.67817,-73.96814,238,SAINT MARKS AVENUE,3,1152,7504,KZ ENGINEERING  PC,0,DOB NOW,Local Law 11,Commercial District/Overlay
B00816747-I1,BROOKLYN,,2023-01-25,2025-07-30,916,2026-01-14,190.0,,Permit Entire,3128450,312,40.63395,-73.98533,1515,46 STREET,3,5433,72,PAUL G. JONES  P.E.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00817124-I1,BROOKLYN,,2023-02-07,2025-07-30,903,2025-10-30,134.0,,Permit Entire,3394543,305,40.66479,-73.87858,2305,LINDEN BOULEVARD,3,4338,1,PR,1,DOB NOW,Local Law 11,Other Zoning Districts
B00819693-I1,BROOKLYN,,2023-01-31,2025-07-30,910,2025-09-15,130.0,,Permit Entire,3179165,314,40.63106,-73.95785,1280,OCEAN AVENUE,3,6694,72,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00820387-I1,BROOKLYN,,2023-01-30,2025-07-30,911,2026-01-23,563.0,,Permit Entire,3329628,303,40.69958,-73.9486,630,FLUSHING AVENUE,3,1720,1,MSM ENGINEERING SERVICES  PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00822528-I1,BROOKLYN,,2023-03-20,2025-07-30,862,2025-12-31,1300.0,,Permit Entire,3330794,308,40.67392,-73.95144,760,PROSPECT PLACE,3,1233,26,AME SERVICES INC.,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00822811-I1,BROOKLYN,,2023-02-03,2025-07-30,907,2025-12-19,177.0,,Permit Entire,3028744,308,40.67726,-73.97014,225,PARK PLACE,3,1158,61,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00824234-I1,BROOKLYN,,2023-02-10,2025-07-30,900,2025-10-06,102.0,,Permit Entire,3002033,302,40.6953,-73.99699,62,MONTAGUE STREET,3,247,25,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B00828037-I1,BROOKLYN,,2023-02-15,2025-07-30,895,2025-11-04,32.0,,Permit Entire,3420421,308,40.67984,-73.96533,751,DEAN STREET,3,1130,47,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00828679-I1,BROOKLYN,,2023-02-16,2025-07-30,894,2026-02-10,526.0,,Permit Entire,3204893,315,40.58609,-73.95634,2665,HOMECREST AVENUE,3,7457,55,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00829361-I1,BROOKLYN,,2023-02-15,2025-07-30,895,2026-01-16,1280.0,,Permit Entire,3322532,310,40.62197,-74.03887,9000,SHORE ROAD,3,6078,10,AP PROFESSIONAL ENG PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00829363-I1,BROOKLYN,,2023-02-15,2025-07-30,895,2026-01-15,600.0,,Permit Entire,3322534,310,40.62197,-74.03887,45,91 STREET,3,6078,10,AP PROFESSIONAL ENG PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00829485-I1,BROOKLYN,,2023-03-03,2025-07-30,879,2025-11-03,343.0,,Permit Entire,3255641,306,40.68602,-73.99683,180,KANE STREET,3,324,27,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00830271-I1,BROOKLYN,,2023-02-21,2025-07-30,889,2025-12-22,573.0,,Permit Entire,3247918,315,40.5869,-73.93296,3845,SHORE PARKWAY,3,8806,140,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00830272-I1,BROOKLYN,,2023-03-03,2025-07-30,879,2025-12-22,412.0,,Permit Entire,3321826,315,40.58759,-73.93312,3080,VOORHIES AVENUE,3,8806,150,ENTHINK ENGINEERING LLC,0,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00830276-I1,BROOKLYN,,2023-02-21,2025-07-30,889,2025-12-22,195.0,,Permit Entire,3321825,315,40.58759,-73.93312,3090,VOORHIES AVENUE,3,8806,150,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00832873-I1,BROOKLYN,,2023-02-24,2025-07-30,886,2025-09-27,751.0,,Permit Entire,3000352,302,40.68955,-73.98176,589,FULTON STREET,3,149,14,G. BLINN CONSULTING  LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00834440-I1,BROOKLYN,,2023-05-22,2025-07-30,799,2025-10-01,550.0,,Permit Entire,3157760,311,40.61941,-74.00057,7115,15 AVENUE,3,6180,1,AME SERVICES INC.,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00835773-I1,BROOKLYN,,2023-03-13,2025-07-30,869,2026-01-22,10.0,,Permit Entire,3322157,313,40.59247,-73.98299,2250,WEST   11 STREET,3,7137,1,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00835812-I1,BROOKLYN,,2023-03-13,2025-07-30,869,2026-01-22,33.0,,Permit Entire,3322148,313,40.59247,-73.98299,2227,STILLWELL AVENUE,3,7137,1,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00835828-I1,BROOKLYN,,2023-03-14,2025-07-30,868,2026-01-22,16.0,,Permit Entire,3322144,313,40.59247,-73.98299,17,AVENUE W,3,7137,1,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00835848-I1,BROOKLYN,,2023-03-14,2025-07-30,868,2026-01-22,18.0,,Permit Entire,3322147,313,40.59247,-73.98299,63,AVENUE W,3,7137,1,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00835854-I1,BROOKLYN,,2023-03-14,2025-07-30,868,2026-01-22,18.0,,Permit Entire,3322156,313,40.59247,-73.98299,2220,WEST   11 STREET,3,7137,1,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00835906-I1,BROOKLYN,,2023-03-01,2025-07-30,881,2025-12-06,550.0,,Permit Entire,3247956,315,40.58478,-73.93169,3235,EMMONS AVENUE,3,8808,59,ASR ENGINEERING PC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00836718-I1,BROOKLYN,,2025-02-13,2025-07-30,166,2025-09-26,145.0,,Permit Entire,3429740,309,40.65908,-73.94776,447,FENIMORE STREET,3,4809,50,TRIANGLE INSP & TEST SER INC.,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00837139-I1,BROOKLYN,,2023-03-14,2025-07-30,868,2026-01-22,37.0,,Permit Entire,3322168,313,40.59153,-73.97987,2257,WEST   11 STREET,3,7140,16,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00837170-I1,BROOKLYN,,2023-03-14,2025-07-30,868,2026-01-22,56.0,,Permit Entire,3322169,313,40.59153,-73.97987,2295,WEST   11 STREET,3,7140,16,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00837190-I1,BROOKLYN,,2023-03-14,2025-07-30,868,2026-01-22,56.0,,Permit Entire,3322179,313,40.59153,-73.97987,2294,WEST    8 STREET,3,7140,16,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00837270-I1,BROOKLYN,,2023-03-14,2025-07-30,868,2026-01-22,66.0,,Permit Entire,3322181,313,40.59153,-73.97987,2326,WEST    8 STREET,3,7140,16,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00840263-I1,BROOKLYN,,2023-03-08,2025-07-30,874,2026-03-12,33.0,,Permit Entire,3037689,309,40.66769,-73.93825,1515,PRESIDENT STREET,3,1400,65,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00840279-I1,BROOKLYN,,2023-03-09,2025-07-30,873,2025-09-12,306.0,,Permit Entire,3391660,317,40.64624,-73.9533,2520,TILDEN AVENUE,3,5136,8,MOHAMMAD AHEAD - PE  PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00840309-I1,BROOKLYN,,2023-04-14,2025-07-30,837,2025-09-29,80.0,,Permit Entire,3324970,303,40.69322,-73.93858,939,DEKALB AVENUE,3,1597,1,ASHRAF CORP,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00840325-I1,BROOKLYN,,2023-04-13,2025-07-30,838,2025-09-29,90.0,,Permit Entire,3327832,301,40.71807,-73.93845,295,JACKSON STREET,3,2867,1,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00840353-I1,BROOKLYN,,2023-03-08,2025-07-30,874,2025-10-29,49.0,,Permit Entire,3032690,308,40.67008,-73.948,615,EASTERN PARKWAY,3,1262,41,ARQUITECTURA VARELA,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00840965-I1,BROOKLYN,,2023-04-12,2025-07-30,839,2026-03-31,90.0,,Permit Entire,3183921,315,40.60365,-73.9602,1877,EAST   12 STREET,3,6818,65,PAUL PERDEK  PROF. ENG. PLLC,0,DOB NOW,Local Law 11,Other Zoning Districts
B00841138-I1,BROOKLYN,,2023-03-09,2025-07-30,873,2026-02-25,238.0,,Permit Entire,3088714,305,40.67551,-73.88144,777,GLENMORE AVENUE,3,3988,35,KZ ENGINEERING  PC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00843009-I1,BROOKLYN,,2023-03-14,2025-07-30,868,2025-11-13,30.0,,Permit Entire,3139648,312,40.63453,-74.00141,1047,56 STREET,3,5681,54,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00843223-I1,BROOKLYN,,2023-03-21,2025-07-30,861,2025-10-30,143.0,,Permit Entire,3325092,303,40.68414,-73.93811,383,MARCUS GARVEY BOULEVARD,3,1654,81,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00843225-I1,BROOKLYN,,2023-07-26,2025-07-30,734,2025-12-31,190.0,,Permit Entire,3000567,302,40.68743,-73.98332,383,STATE STREET,3,172,55,TRIANGLE INSP & TEST SER INC.,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00844422-I1,BROOKLYN,,2023-03-17,2025-07-30,865,2026-03-10,189.0,,Permit Entire,3000527,302,40.68717,-73.98006,60,FLATBUSH AVENUE,3,167,26,KZ ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00846939-I1,BROOKLYN,,2023-03-27,2025-07-30,855,2025-12-06,209.0,,Permit Entire,3166838,311,40.60294,-74.00035,8684,20 AVENUE,3,6374,1,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00848914-I1,BROOKLYN,,2023-03-27,2025-07-30,855,2026-03-12,399.0,,Permit Entire,3245696,315,40.57716,-73.95331,65,ORIENTAL BOULEVARD,3,8719,38,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00849966-I1,BROOKLYN,,2023-03-28,2025-07-30,854,2025-11-03,119.0,,Permit Entire,3064615,301,40.73149,-73.95351,176,JAVA STREET,3,2551,14,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00851192-I1,BROOKLYN,,2023-04-03,2025-07-30,848,2025-08-16,480.0,,Permit Entire,3121398,314,40.63482,-73.95773,1111,OCEAN AVENUE,3,5241,31,Volume Space Consulting Inc,1,DOB NOW,Local Law 11,Other Zoning Districts
B00851358-I1,BROOKLYN,,2023-04-15,2025-07-30,836,2026-05-15,163.0,,Permit Entire,3026611,306,40.66142,-73.98019,195,PROSPECT PARK WEST,3,1103,48,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
